job_code,problem_statement,contributed_by
,"I am a rider in the Durham Transportation System. I need to easily figure out when my bus rides are, how much they are, and if they are reliable.","Jeremiah"
HOTM,"A tourist destination hotel needs to figure out how to manage the influx of tourists over holidays and certain times of the year.","Jeremiah"
CULA,"I am a food professional who needs to ensure that all my food I import is high quality and for consumption.","Jeremiah"
CMHC,"I am a child mental health professional, and I need to get authentic feedback from children on how comfortable they are and how it can improve.","Jeremiah"
FONU,"I am a food and nutrition specialist, and I am not able to get new information or applications for foods.","Jeremiah"
ANSC,"I am an Animal Scientist that needs to make sure they are not mistreating or mishandling any of the animals being tested.","Jeremiah"
PLSV,"I am a Plant System specialist who needs steady and readily available plant fertilizer, heat lamps, and light.","Jeremiah"
SUAG,"I am a Sustainable Agricultural specialist who needs to ensure that the conditions of sustainability are met.","Jeremiah"
BSEL,"I am a Business Ethics and Law specialist who needs to have paperwork ready on time, when I need it.","Jeremiah"
ENTRE,"I am a business manager and need a quick and easy way to figure out what my employees have been working on.","Jeremiah"
CARP,"I am a carpenter who needs to ensure the safety of my employees.","Jeremiah"
CARP,"As a Carpenter, I need to give my customers a fair price for their deck, but wood prices keep changing every week, making it hard to stick to the budget.","Connor"
CARP,"As a Woodworker, I need to cut my pieces perfectly on the first try, but using old, dull tools makes my work look sloppy and wastes expensive wood.","Connor"
CARP,"As a Cabinet Maker, I need to finish my installs on time, but waiting weeks for backordered hinges and handles stops me from getting paid.","Connor"
PSPW,"As a Firefighter, I need to know exactly where people are inside a burning house, but thick smoke makes it impossible to see and my thermal camera just ran out of battery.","Connor"
PSPW,"As a Police Officer, I need to talk to my team during a crisis, but our old radios don't work inside big concrete buildings or basements.","Connor"
PSPW,"As an EMT, I need to get a patient to the hospital fast, but heavy afternoon traffic won't pull over, and I'm losing ""golden hour"" treatment time.","Connor"
SUAG,"As a Small Farmer, I need to stop using chemicals on my crops, but the weeds grow so fast that I can’t keep up with them by hand.","Connor"
SUAG,"As a Rancher, I need to move my cows to fresh grass every day, but it takes too much time and money to move all the heavy fencing.","Connor"
SUAG,"As a Vegetable Grower, I need to save water during a drought, but setting up a new drip irrigation system costs more money than I made all last year.","Connor"
SUAG,"As a Backyard Gardener, I need to grow my own food without using bug spray, but the aphids are eating all my kale before I even get a chance to harvest it.","Connor"
HSHS,"As an emergency room nurse, I need to triage patients quickly, but incomplete patient histories slow down critical decisions.","Apollo"
HSHS,"As a medical lab technician, I need to process test samples efficiently, but outdated equipment causes frequent delays and retesting.","Apollo"
HSHS,"As a home health aide, I need to track patient medication schedules, but inconsistent communication from multiple doctors leads to confusion.","Apollo"
HSHS,"As a radiologic technologist, I need to capture clear diagnostic images, but patients often move due to discomfort, reducing image quality.","Apollo"
ITIT,"As a cybersecurity analyst, I need to identify threats in real time, but the volume of alerts creates noise that hides serious risks.","Apollo"
ITIT,"As a software developer, I need to fix bugs quickly, but poorly documented legacy code makes troubleshooting slow and frustrating.","Apollo"
ITIT,"As a network administrator, I need to maintain uptime, but unexpected hardware failures happen without early warning signs.","Apollo"
ARCH,"As a construction project manager, I need to keep projects on schedule, but supply chain delays make timelines unpredictable.","Apollo"
ARCH,"As an electrician, I need to install wiring safely, but inconsistent building plans create confusion on-site.","Apollo"
ARCH,"As a carpenter, I need precise measurements for custom builds, but material warping affects accuracy after cutting.","Apollo"
COLL,"As an auto body technician, I need to match paint colors precisely, but lighting differences between the shop and outdoor conditions make the final result look inconsistent.","Jasper"
COLL,"As a collision estimator, I need to provide accurate repair quotes quickly, but hidden internal damage often isn’t visible until disassembly, causing delays and customer frustration.","Jasper"
COLL,"As a refinishing specialist, I need paint to cure efficiently, but humidity and temperature fluctuations in the shop slow drying times unpredictably.","Jasper"
COLL,"As a repair technician, I need to source replacement parts quickly, but supply chain delays leave vehicles sitting in the shop for weeks.","Jasper"
WELD,"As a structural welder, I need to ensure strong welds on thick materials, but inconsistent heat control leads to weak joints or warping.","Jasper"
WELD,"As a fabrication shop welder, I need to meet tight deadlines, but rework from failed weld inspections slows down production.","Jasper"
WELD,"As a pipeline welder, I need to work safely in outdoor environments, but unpredictable weather conditions affect weld quality and safety.","Jasper"
CNEN,"As a network engineer, I need to quickly diagnose outages, but limited visibility across different systems makes it hard to pinpoint the root cause.","Jasper"
CNEN,"As an IT support specialist, I need to explain network issues to non-technical employees, but technical jargon creates confusion and miscommunication.","Jasper"
CNEN,"As a cybersecurity-focused network engineer, I need to keep systems secure, but constant new threats make it difficult to stay ahead without interrupting normal operations.","Jasper"

